                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     79,                 0.3064,                0.41683,                 1.0471,                0.88698,                0.80903,                0.87639,                0.76143,                0.40094,                0.68828,                 1.0488,             0.00033846,             0.00033846,             0.00033846
                     80,                0.30743,                0.42747,                 1.0523,                0.86951,                 0.8166,                0.87602,                0.76232,                0.39671,                0.67862,                 1.0524,             0.00032402,             0.00032402,             0.00032402
                     81,                0.30345,                0.41464,                 1.0483,                0.89107,                0.80088,                0.87508,                0.75991,                0.39908,                0.67752,                 1.0511,             0.00030959,             0.00030959,             0.00030959
                     82,                0.30167,                0.41004,                 1.0409,                0.84175,                0.85551,                0.87811,                0.76626,                0.39677,                0.67281,                 1.0475,             0.00029515,             0.00029515,             0.00029515
                     83,                0.29609,                0.39924,                 1.0395,                0.84807,                 0.8461,                0.88137,                0.76909,                0.39321,                0.66695,                 1.0409,             0.00028071,             0.00028071,             0.00028071
                     84,                0.29887,                0.40145,                 1.0423,                0.89729,                0.81146,                0.87958,                0.76527,                0.39928,                0.69148,                 1.0488,             0.00026628,             0.00026628,             0.00026628
                     85,                0.29949,                0.40476,                 1.0391,                0.86601,                0.83434,                0.87958,                0.76405,                0.39961,                0.69647,                 1.0509,             0.00025184,             0.00025184,             0.00025184
                     86,                0.29917,                0.40664,                 1.0408,                0.89915,                0.82088,                0.88235,                0.76918,                0.39754,                0.68192,                 1.0479,             0.00023741,             0.00023741,             0.00023741
                     87,                0.29571,                0.40134,                 1.0346,                0.90422,                0.80179,                0.87885,                0.76721,                 0.3934,                0.69781,                 1.0407,             0.00022297,             0.00022297,             0.00022297
                     88,                0.29664,                0.39668,                 1.0427,                0.91391,                0.81214,                0.88063,                0.77012,                0.39027,                0.68081,                 1.0344,             0.00020854,             0.00020854,             0.00020854
                     89,                0.29387,                0.39668,                 1.0385,                0.90245,                0.81832,                0.88101,                 0.7663,                0.39031,                0.68771,                 1.0358,              0.0001941,              0.0001941,              0.0001941
