                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     64,                 0.4246,                0.43234,                 0.9926,                0.84975,                0.70264,                0.72648,                0.65552,                0.49887,                 0.6763,                0.80993,             0.00035106,             0.00035106,             0.00035106
                     65,                0.42378,                0.43778,                0.99496,                0.85423,                0.71072,                0.73807,                0.66027,                0.51737,                0.68533,                0.81341,             0.00034206,             0.00034206,             0.00034206
                     66,                0.41288,                0.42675,                0.98404,                0.86986,                0.70591,                0.72959,                0.64725,                0.51572,                0.69177,                0.79405,             0.00033306,             0.00033306,             0.00033306
                     67,                0.41907,                0.42489,                0.99073,                0.84093,                0.70538,                0.73437,                0.65703,                0.49198,                0.69078,                0.78501,             0.00032406,             0.00032406,             0.00032406
                     68,                0.41681,                0.43024,                0.98777,                0.86351,                0.67971,                0.73843,                0.65113,                0.52379,                 0.6939,                0.81423,             0.00031506,             0.00031506,             0.00031506
                     69,                0.41504,                0.41344,                0.99169,                0.86171,                0.70705,                0.74188,                0.65457,                0.51164,                0.69456,                0.80554,             0.00030606,             0.00030606,             0.00030606
                     70,                0.40418,                0.41818,                0.98323,                0.84081,                 0.7218,                0.73448,                 0.6515,                0.52791,                 0.6859,                0.81433,             0.00029706,             0.00029706,             0.00029706
                     71,                0.40621,                0.40567,                0.98455,                0.69692,                0.70144,                0.73661,                0.66002,                0.50722,                0.71959,                0.80035,             0.00028806,             0.00028806,             0.00028806
                     72,                0.40603,                0.41226,                0.98724,                0.84214,                0.72551,                0.74541,                0.66398,                0.48231,                0.66977,                0.78019,             0.00027906,             0.00027906,             0.00027906
                     73,                0.41311,                0.40991,                0.98953,                  0.868,                0.69878,                 0.7392,                0.66249,                0.48532,                0.66479,                 0.7833,             0.00027006,             0.00027006,             0.00027006
                     74,                0.40205,                0.40614,                0.97811,                0.81517,                0.72124,                0.73083,                0.64616,                0.50302,                0.72023,                0.79968,             0.00026106,             0.00026106,             0.00026106
                     75,                0.40536,                0.40488,                0.98128,                0.80152,                  0.714,                0.73876,                0.65802,                 0.5155,                 0.7291,                 0.8148,             0.00025207,             0.00025207,             0.00025207
                     76,                0.39436,                0.38803,                0.98221,                0.88977,                0.64094,                0.72785,                0.65168,                0.49621,                0.70735,                0.79634,             0.00024307,             0.00024307,             0.00024307
                     77,                0.38968,                0.38862,                0.97979,                0.72743,                  0.692,                0.73237,                0.65814,                0.49538,                0.69209,                0.80091,             0.00023407,             0.00023407,             0.00023407
                     78,                0.38595,                0.38242,                 0.9775,                0.83901,                0.69464,                0.72555,                0.65191,                0.48701,                0.71287,                0.78675,             0.00022507,             0.00022507,             0.00022507
                     79,                0.39011,                0.38655,                0.97705,                0.80777,                0.72628,                0.73163,                0.65592,                0.48987,                0.71631,                0.79743,             0.00021607,             0.00021607,             0.00021607
                     80,                0.39235,                 0.3846,                0.97805,                0.88028,                0.69136,                0.74326,                0.66247,                0.50718,                0.66802,                0.80029,             0.00020707,             0.00020707,             0.00020707
                     81,                0.38406,                0.38047,                0.97617,                0.84208,                0.70905,                0.72065,                0.64729,                0.50085,                0.73073,                0.80698,             0.00019807,             0.00019807,             0.00019807
                     82,                0.37413,                0.36308,                0.96839,                0.86832,                0.66969,                0.73584,                 0.6572,                 0.4966,                0.68353,                0.80266,             0.00018907,             0.00018907,             0.00018907
                     83,                0.38161,                0.37591,                0.96928,                0.87609,                0.66288,                0.73397,                0.65558,                0.49368,                0.68949,                0.79742,             0.00018007,             0.00018007,             0.00018007
                     84,                0.38393,                0.37975,                0.97794,                0.85356,                0.69967,                0.72906,                0.65387,                 0.4907,                0.68787,                0.79876,             0.00017107,             0.00017107,             0.00017107
                     85,                0.37585,                0.37074,                0.97339,                0.86345,                0.68848,                0.73646,                0.66006,                0.50259,                0.68513,                0.80359,             0.00016207,             0.00016207,             0.00016207
                     86,                0.37782,                0.37167,                0.97429,                0.70449,                0.69163,                0.73498,                0.65906,                0.49163,                0.67183,                0.78734,             0.00015308,             0.00015308,             0.00015308
                     87,                0.37516,                0.36788,                0.96963,                0.85523,                0.69255,                0.73748,                0.66154,                0.49708,                0.68216,                0.80666,             0.00014408,             0.00014408,             0.00014408
                     88,                0.37067,                0.35996,                 0.9692,                0.86759,                0.70662,                0.73681,                0.66252,                0.49474,                0.67108,                 0.7924,             0.00013508,             0.00013508,             0.00013508
                     89,                0.37437,                0.35893,                0.96581,                0.88509,                0.67721,                0.73611,                0.66241,                0.48418,                0.68866,                0.77997,             0.00012608,             0.00012608,             0.00012608
                     90,                0.37342,                0.36094,                0.97072,                0.83143,                0.73067,                0.74164,                0.66832,                0.48245,                0.67186,                0.78544,             0.00011708,             0.00011708,             0.00011708
                     91,                0.27093,                0.24714,                0.89841,                0.81596,                0.71822,                0.73079,                0.65857,                0.47821,                0.67159,                0.77646,             0.00010808,             0.00010808,             0.00010808
                     92,                0.26465,                 0.2317,                0.89733,                0.89763,                0.67141,                0.72505,                0.65381,                0.47617,                0.68574,                0.77941,             9.9081e-05,             9.9081e-05,             9.9081e-05
                     93,                0.25615,                0.22136,                 0.8917,                0.73476,                0.68924,                0.73168,                0.66385,                0.46541,                0.67426,                0.76964,             9.0082e-05,             9.0082e-05,             9.0082e-05
                     94,                0.25474,                0.21972,                0.89563,                0.87363,                0.68249,                0.73378,                0.66345,                0.46715,                0.66513,                0.77096,             8.1083e-05,             8.1083e-05,             8.1083e-05
                     95,                0.24615,                0.21125,                 0.8928,                0.89923,                0.67188,                0.73802,                0.66613,                0.47175,                 0.6636,                0.77532,             7.2084e-05,             7.2084e-05,             7.2084e-05
                     96,                0.24368,                 0.2072,                0.88821,                 0.7136,                0.70042,                0.73846,                0.66847,                0.47085,                 0.6768,                0.77799,             6.3085e-05,             6.3085e-05,             6.3085e-05
                     97,                0.24403,                0.20631,                0.89152,                0.70566,                0.70724,                0.73877,                0.66986,                 0.4652,                0.67489,                0.77049,             5.4086e-05,             5.4086e-05,             5.4086e-05
                     98,                0.24483,                0.20368,                0.89839,                0.71706,                0.69753,                0.73674,                0.66711,                0.47512,                0.67318,                0.78009,             4.5086e-05,             4.5086e-05,             4.5086e-05
                     99,                 0.2355,                0.19879,                0.88625,                0.72973,                0.69186,                0.73457,                0.66551,                0.47154,                0.67473,                0.77561,             3.6087e-05,             3.6087e-05,             3.6087e-05
                    100,                0.23147,                0.19447,                0.88261,                0.73152,                0.69674,                0.73718,                0.66848,                0.46915,                0.66592,                0.77364,             2.7088e-05,             2.7088e-05,             2.7088e-05
